sample_row_id,model,source,loc,token_count,ast_node_count,ast_max_depth,cyclomatic_complexity,function_count,loop_count,if_count,call_count
train:44,human,gh,18.0,140.0,126.0,11.0,6.0,1.0,2.0,1.0,9.0
train:45,human,gh,19.0,156.0,116.0,9.0,7.0,1.0,0.0,5.0,3.0
train:46,human,gh,29.0,141.0,140.0,10.0,4.0,1.0,0.0,2.0,4.0
train:47,human,gh,14.0,122.0,103.0,11.0,6.0,1.0,1.0,3.0,7.0
train:48,human,gh,26.0,272.0,265.0,12.0,10.0,1.0,3.0,4.0,18.0
train:49,human,gh,5.0,54.0,44.0,9.0,3.0,1.0,0.0,1.0,5.0
train:50,human,gh,18.0,109.0,84.0,9.0,4.0,1.0,0.0,1.0,3.0
train:51,human,gh,36.0,308.0,278.0,11.0,9.0,1.0,1.0,5.0,17.0
train:52,human,gh,4.0,41.0,30.0,7.0,1.0,1.0,0.0,0.0,2.0
train:53,human,gh,10.0,115.0,98.0,8.0,2.0,1.0,0.0,1.0,1.0
train:54,human,gh,45.0,285.0,262.0,8.0,3.0,1.0,0.0,2.0,15.0
train:55,human,gh,9.0,78.0,69.0,8.0,1.0,1.0,0.0,0.0,8.0
train:56,human,gh,9.0,89.0,71.0,10.0,4.0,1.0,1.0,2.0,6.0
train:57,human,gh,30.0,231.0,211.0,8.0,2.0,1.0,0.0,0.0,12.0
train:58,human,gh,34.0,268.0,226.0,12.0,12.0,1.0,4.0,2.0,17.0
train:59,human,gh,6.0,46.0,37.0,7.0,3.0,1.0,0.0,1.0,1.0
train:60,human,gh,76.0,480.0,356.0,9.0,10.0,1.0,0.0,9.0,11.0
train:61,human,gh,6.0,59.0,43.0,7.0,1.0,1.0,0.0,0.0,2.0
train:62,human,gh,14.0,111.0,96.0,8.0,6.0,1.0,1.0,3.0,5.0
train:63,human,gh,9.0,57.0,31.0,6.0,1.0,1.0,0.0,0.0,1.0
train:64,human,gh,6.0,44.0,27.0,9.0,2.0,1.0,0.0,1.0,2.0
train:65,human,gh,5.0,39.0,34.0,7.0,1.0,1.0,0.0,0.0,2.0
train:66,human,gh,7.0,41.0,34.0,5.0,1.0,1.0,0.0,0.0,0.0
train:67,human,gh,22.0,177.0,123.0,9.0,8.0,1.0,0.0,7.0,15.0
train:68,human,gh,15.0,136.0,115.0,9.0,4.0,1.0,0.0,3.0,10.0
train:69,human,gh,16.0,119.0,96.0,10.0,4.0,2.0,1.0,1.0,6.0
train:70,human,gh,17.0,214.0,165.0,11.0,6.0,1.0,0.0,5.0,8.0
train:71,human,gh,18.0,159.0,127.0,11.0,7.0,1.0,0.0,2.0,13.0
train:72,human,gh,6.0,61.0,55.0,8.0,1.0,1.0,0.0,0.0,3.0
train:73,human,gh,16.0,127.0,105.0,10.0,4.0,1.0,1.0,2.0,15.0
train:74,human,gh,5.0,59.0,56.0,7.0,3.0,1.0,0.0,0.0,4.0
train:75,human,gh,3.0,39.0,28.0,7.0,2.0,1.0,0.0,0.0,1.0
train:76,human,gh,23.0,185.0,169.0,11.0,4.0,1.0,0.0,3.0,6.0
train:77,human,gh,10.0,77.0,70.0,8.0,3.0,1.0,1.0,1.0,3.0
train:78,human,gh,25.0,185.0,162.0,10.0,7.0,1.0,1.0,3.0,4.0
train:79,human,gh,5.0,56.0,51.0,12.0,3.0,1.0,0.0,0.0,5.0
train:80,human,gh,5.0,41.0,29.0,7.0,2.0,1.0,0.0,1.0,3.0
train:81,human,gh,5.0,64.0,57.0,10.0,2.0,1.0,0.0,0.0,5.0
train:82,human,gh,5.0,37.0,32.0,7.0,3.0,1.0,0.0,1.0,1.0
train:83,human,gh,11.0,95.0,74.0,10.0,4.0,1.0,0.0,1.0,4.0
train:84,human,gh,6.0,46.0,39.0,7.0,1.0,1.0,0.0,0.0,5.0
train:85,human,gh,4.0,33.0,27.0,8.0,2.0,1.0,0.0,0.0,0.0
train:86,human,gh,8.0,76.0,66.0,7.0,5.0,1.0,0.0,2.0,3.0
train:87,human,gh,43.0,223.0,190.0,9.0,3.0,1.0,1.0,1.0,18.0
train:88,human,gh,7.0,59.0,49.0,8.0,2.0,1.0,1.0,0.0,3.0
train:89,human,gh,20.0,217.0,211.0,9.0,3.0,1.0,2.0,0.0,11.0
train:90,human,gh,6.0,54.0,47.0,8.0,2.0,1.0,1.0,0.0,4.0
train:91,human,gh,10.0,93.0,84.0,8.0,4.0,1.0,1.0,2.0,4.0
train:92,human,gh,8.0,66.0,50.0,10.0,4.0,1.0,2.0,1.0,3.0
train:93,human,gh,13.0,103.0,84.0,9.0,3.0,1.0,0.0,2.0,6.0
train:94,human,gh,24.0,213.0,184.0,9.0,4.0,1.0,1.0,2.0,12.0
train:95,human,gh,22.0,305.0,330.0,12.0,11.0,1.0,4.0,2.0,16.0
train:96,human,gh,10.0,70.0,49.0,10.0,3.0,1.0,0.0,0.0,5.0
train:97,human,gh,15.0,111.0,100.0,6.0,3.0,1.0,0.0,1.0,4.0
train:98,human,gh,3.0,43.0,30.0,9.0,2.0,1.0,0.0,0.0,2.0
train:99,human,gh,39.0,259.0,219.0,10.0,8.0,1.0,3.0,3.0,18.0
train:100,human,gh,10.0,52.0,32.0,6.0,1.0,1.0,0.0,0.0,2.0
train:101,human,gh,11.0,79.0,60.0,8.0,4.0,1.0,1.0,0.0,7.0
train:102,human,gh,47.0,246.0,165.0,11.0,14.0,1.0,2.0,3.0,13.0
train:103,human,gh,19.0,121.0,101.0,8.0,4.0,1.0,0.0,3.0,8.0
train:104,human,gh,3.0,34.0,23.0,7.0,1.0,1.0,0.0,0.0,1.0
train:105,human,gh,9.0,61.0,51.0,6.0,3.0,1.0,0.0,2.0,3.0
train:106,human,gh,41.0,321.0,262.0,11.0,14.0,1.0,0.0,5.0,23.0
train:107,human,gh,4.0,42.0,41.0,7.0,1.0,1.0,0.0,0.0,1.0
train:108,human,gh,7.0,40.0,29.0,7.0,1.0,1.0,0.0,0.0,3.0
train:109,human,gh,8.0,78.0,66.0,9.0,3.0,1.0,0.0,2.0,5.0
train:110,human,gh,7.0,57.0,45.0,9.0,3.0,1.0,1.0,1.0,2.0
train:111,human,gh,9.0,79.0,61.0,9.0,1.0,1.0,0.0,0.0,4.0
train:112,human,gh,21.0,148.0,127.0,9.0,4.0,1.0,1.0,0.0,8.0
train:113,human,gh,13.0,81.0,56.0,8.0,6.0,1.0,1.0,1.0,4.0
train:114,human,gh,31.0,189.0,153.0,10.0,5.0,1.0,1.0,1.0,8.0
train:115,human,gh,68.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train:116,human,gh,8.0,85.0,65.0,10.0,4.0,1.0,0.0,1.0,4.0
train:117,human,gh,3.0,36.0,29.0,9.0,1.0,1.0,0.0,0.0,2.0
train:118,human,gh,66.0,327.0,247.0,13.0,13.0,1.0,5.0,4.0,16.0
train:119,human,gh,30.0,187.0,156.0,7.0,3.0,1.0,0.0,2.0,12.0
train:120,human,gh,4.0,32.0,24.0,8.0,2.0,1.0,1.0,0.0,1.0
train:121,human,gh,4.0,32.0,27.0,7.0,1.0,1.0,0.0,0.0,1.0
train:122,human,gh,11.0,78.0,60.0,9.0,4.0,1.0,1.0,2.0,1.0
train:123,human,gh,43.0,363.0,307.0,11.0,12.0,1.0,0.0,8.0,15.0
train:124,human,gh,7.0,64.0,39.0,6.0,1.0,1.0,0.0,0.0,2.0
train:125,human,gh,14.0,94.0,83.0,9.0,5.0,1.0,2.0,1.0,6.0
train:126,human,gh,25.0,175.0,157.0,8.0,7.0,1.0,2.0,2.0,9.0
train:127,human,gh,7.0,62.0,51.0,7.0,2.0,1.0,0.0,1.0,1.0
train:128,human,gh,4.0,43.0,29.0,8.0,1.0,1.0,0.0,0.0,1.0
train:129,human,gh,3.0,31.0,22.0,6.0,1.0,1.0,0.0,0.0,1.0
train:130,human,gh,16.0,110.0,67.0,6.0,2.0,1.0,1.0,0.0,2.0
train:131,human,gh,54.0,435.0,359.0,9.0,17.0,2.0,2.0,11.0,21.0
train:132,human,gh,3.0,39.0,35.0,10.0,2.0,1.0,0.0,0.0,2.0
train:133,human,gh,69.0,664.0,624.0,10.0,10.0,1.0,2.0,5.0,47.0
train:134,human,gh,24.0,218.0,208.0,11.0,3.0,1.0,0.0,0.0,24.0
train:135,human,gh,13.0,84.0,53.0,8.0,5.0,1.0,0.0,2.0,3.0
train:136,human,gh,42.0,245.0,189.0,10.0,9.0,1.0,1.0,4.0,9.0
train:137,human,gh,12.0,70.0,61.0,8.0,5.0,1.0,0.0,2.0,0.0
train:138,human,gh,35.0,249.0,210.0,13.0,9.0,1.0,1.0,5.0,15.0
train:139,human,gh,18.0,158.0,138.0,10.0,4.0,1.0,1.0,1.0,13.0
train:140,human,gh,6.0,78.0,72.0,10.0,2.0,1.0,1.0,0.0,2.0
train:141,human,gh,15.0,109.0,95.0,8.0,3.0,1.0,0.0,1.0,3.0
train:142,human,gh,20.0,155.0,161.0,10.0,5.0,1.0,2.0,1.0,5.0
train:143,human,gh,7.0,58.0,40.0,7.0,2.0,1.0,0.0,1.0,2.0
train:144,human,gh,7.0,47.0,33.0,10.0,3.0,1.0,0.0,0.0,1.0
train:145,human,gh,6.0,35.0,27.0,6.0,1.0,1.0,0.0,0.0,2.0
train:146,human,gh,29.0,205.0,174.0,12.0,7.0,1.0,0.0,4.0,14.0
train:147,human,gh,23.0,229.0,184.0,8.0,5.0,1.0,0.0,4.0,9.0
train:148,human,gh,5.0,115.0,125.0,16.0,1.0,1.0,0.0,0.0,9.0
train:149,human,gh,21.0,179.0,151.0,9.0,9.0,1.0,0.0,6.0,4.0
train:150,human,gh,67.0,810.0,803.0,15.0,13.0,1.0,4.0,4.0,51.0
train:151,human,gh,18.0,117.0,99.0,7.0,3.0,1.0,0.0,1.0,5.0
train:152,human,gh,22.0,153.0,146.0,10.0,5.0,1.0,2.0,2.0,8.0
train:153,human,gh,31.0,199.0,163.0,8.0,9.0,1.0,1.0,5.0,8.0
train:154,human,gh,8.0,71.0,63.0,8.0,1.0,1.0,0.0,0.0,3.0
train:155,human,gh,8.0,70.0,50.0,8.0,3.0,1.0,0.0,2.0,3.0
train:156,human,gh,7.0,49.0,38.0,8.0,3.0,1.0,1.0,1.0,3.0
train:157,human,gh,17.0,128.0,130.0,6.0,1.0,1.0,0.0,0.0,1.0
train:158,human,gh,3.0,43.0,36.0,9.0,1.0,1.0,0.0,0.0,2.0
train:159,human,gh,48.0,317.0,276.0,9.0,14.0,1.0,2.0,7.0,19.0
train:160,human,gh,51.0,217.0,125.0,8.0,1.0,1.0,0.0,0.0,9.0
train:161,human,gh,31.0,220.0,191.0,9.0,9.0,1.0,0.0,4.0,11.0
train:162,human,gh,29.0,256.0,198.0,11.0,4.0,3.0,0.0,3.0,19.0
train:163,human,gh,11.0,71.0,59.0,8.0,3.0,1.0,1.0,0.0,4.0
train:164,human,gh,5.0,40.0,27.0,8.0,3.0,1.0,1.0,1.0,2.0
train:165,human,gh,24.0,156.0,119.0,12.0,6.0,1.0,0.0,5.0,17.0
train:166,human,gh,20.0,135.0,107.0,16.0,1.0,1.0,0.0,0.0,8.0
train:167,human,gh,16.0,109.0,91.0,8.0,5.0,1.0,2.0,1.0,4.0
train:168,human,gh,9.0,130.0,129.0,11.0,2.0,1.0,0.0,0.0,10.0
train:169,human,gh,14.0,110.0,108.0,8.0,2.0,1.0,1.0,0.0,6.0
train:170,human,gh,56.0,466.0,397.0,11.0,12.0,2.0,1.0,8.0,38.0
train:171,human,gh,17.0,114.0,90.0,8.0,4.0,1.0,0.0,1.0,7.0
train:172,human,gh,5.0,35.0,28.0,8.0,1.0,1.0,0.0,0.0,3.0
train:173,human,gh,3.0,33.0,22.0,8.0,1.0,1.0,0.0,0.0,1.0
train:174,human,gh,10.0,70.0,46.0,7.0,3.0,1.0,0.0,2.0,1.0
train:175,human,gh,9.0,82.0,77.0,7.0,1.0,1.0,0.0,0.0,3.0
train:176,human,gh,11.0,65.0,52.0,7.0,2.0,1.0,0.0,1.0,4.0
train:177,human,gh,10.0,80.0,61.0,8.0,3.0,1.0,0.0,2.0,6.0
train:178,human,gh,11.0,60.0,45.0,7.0,2.0,1.0,0.0,1.0,3.0
train:179,human,gh,5.0,38.0,28.0,9.0,1.0,1.0,0.0,0.0,3.0
train:180,human,gh,24.0,224.0,204.0,9.0,5.0,1.0,0.0,2.0,10.0
train:181,human,gh,36.0,182.0,148.0,8.0,4.0,1.0,2.0,1.0,11.0
train:182,human,gh,40.0,430.0,426.0,10.0,11.0,1.0,0.0,5.0,24.0
train:183,human,gh,11.0,84.0,66.0,9.0,3.0,1.0,0.0,1.0,5.0
train:184,human,gh,59.0,434.0,359.0,9.0,15.0,1.0,1.0,11.0,20.0
train:185,human,gh,16.0,77.0,62.0,6.0,3.0,1.0,0.0,2.0,3.0
train:186,human,gh,25.0,171.0,148.0,8.0,5.0,1.0,0.0,4.0,7.0
train:187,human,gh,6.0,44.0,35.0,7.0,2.0,1.0,1.0,0.0,2.0
train:188,human,gh,14.0,118.0,125.0,7.0,1.0,1.0,0.0,0.0,10.0
train:189,human,gh,48.0,283.0,244.0,9.0,4.0,2.0,1.0,2.0,22.0
train:190,human,gh,17.0,175.0,124.0,7.0,7.0,1.0,1.0,3.0,5.0
train:191,human,gh,15.0,122.0,104.0,8.0,5.0,1.0,0.0,3.0,4.0
train:192,human,gh,19.0,123.0,103.0,10.0,1.0,1.0,0.0,0.0,6.0
train:193,human,gh,14.0,95.0,80.0,13.0,1.0,1.0,0.0,0.0,3.0
train:194,human,gh,15.0,122.0,100.0,9.0,5.0,1.0,1.0,1.0,7.0
train:195,human,gh,7.0,76.0,60.0,8.0,1.0,1.0,0.0,0.0,5.0
train:196,human,gh,23.0,116.0,79.0,9.0,6.0,1.0,2.0,3.0,6.0
train:197,human,gh,41.0,241.0,214.0,10.0,6.0,1.0,1.0,4.0,14.0
train:198,human,gh,4.0,31.0,24.0,7.0,1.0,1.0,0.0,0.0,3.0
train:199,human,gh,20.0,146.0,137.0,9.0,6.0,1.0,2.0,3.0,3.0
