sample_row_id,code_sha1,dataset_split,split_index,language,model,source,target,char_count,loc,token_count,ast_max_depth,cyclomatic_complexity
train:99393,16276bc237b7f6992f199c56d2d6fe58157f26a5,train,99393,python,qwen1.5,gh,ai,593.0,28.0,137.0,9.0,4.0
train:173485,0b5ddc5a529c7c0da1a9f24b2a2197273dc512c1,train,173485,python,codellama,lc,ai,408.0,22.0,150.0,10.0,5.0
train:164105,6e77cce6332ee7b40f1874e2a54aebbc7e1af2c0,train,164105,python,codellama,lc,ai,180.0,6.0,67.0,6.0,2.0
train:90833,333c5095e0f792b1eb3d2b0101bf0b8247c9e988,train,90833,python,codellama,cf,ai,166.0,9.0,71.0,8.0,4.0
train:145370,4240b3ec19b239fdf48f5cc5912fdbaecf95d546,train,145370,python,llama3.1,lc,ai,159.0,9.0,56.0,7.0,1.0
train:9760,c82e7cf9936e1d6f62c37fde5d86da9773b3eac8,train,9760,python,human,gh,human,124.0,5.0,34.0,6.0,2.0
train:75094,1eff0e6ef625f6848ac1d1db8b3c056e3de091e8,train,75094,python,human,cf,human,631.0,36.0,278.0,10.0,11.0
train:130019,7078a44f8898db01c4e431c2395fdd67c185f2de,train,130019,python,nxcode,lc,ai,226.0,10.0,72.0,8.0,3.0
train:83357,7f78684f821d46c99f8ba85d0e9eab499b2562e0,train,83357,python,human,cf,human,216.0,20.0,108.0,10.0,4.0
train:15393,cbb9ad55d7a8c1639e95588d2b15c6a3ac115ab2,train,15393,python,human,gh,human,152.0,6.0,42.0,7.0,3.0
train:28017,670af18ab9d6f777693ecdaa206995b484f61135,train,28017,python,human,gh,human,331.0,12.0,80.0,8.0,5.0
train:144461,142573dea7c118526297ba03edb347afe2f041ab,train,144461,python,llama3.1,lc,ai,130.0,5.0,51.0,7.0,1.0
train:38845,e0637c049440afa522a50bda14b2db45c4ef02a5,train,38845,python,human,gh,human,361.0,10.0,88.0,9.0,4.0
train:97281,d0b56240845710e2888fca5fdcf364ee250984f2,train,97281,python,nxcode,gh,ai,84.0,3.0,17.0,0.0,0.0
train:120559,0e54b790817fcc0061b772d72b95506266ba7b16,train,120559,python,nxcode,lc,ai,1239.0,16.0,333.0,0.0,0.0
train:139615,22327b1f729b84f7f1856a8e68f0801137ae7ea0,train,139615,python,llama3.1,lc,ai,182.0,5.0,79.0,7.0,2.0
train:27516,5df92b4f5f59ec0228b32e43845af9409df38273,train,27516,python,human,gh,human,509.0,15.0,97.0,6.0,1.0
train:136758,c6ad3d37d9597fd265302fc90f24339dba96343c,train,136758,python,llama3.1,lc,ai,130.0,5.0,54.0,6.0,3.0
train:78809,c5bd9859d87c34971d79f2c3647db15e26342395,train,78809,python,human,cf,human,560.0,49.0,219.0,10.0,8.0
train:140541,07c924c1f5a11e463beaf936f2e6796cc33d234c,train,140541,python,llama3.1,lc,ai,239.0,9.0,92.0,6.0,1.0
train:126262,7c99d0ffc16353cf4ed986f6b4bbaf7107944ce5,train,126262,python,nxcode,lc,ai,134.0,9.0,39.0,6.0,1.0
train:59585,7babdd04bd45271b60067786254a0a67db3ddb3b,train,59585,python,human,cf,human,1445.0,110.0,501.0,11.0,16.0
train:152714,16038f4d994ee10b232b11b933f8a1d90b1dd01d,train,152714,python,qwen1.5,lc,ai,101.0,8.0,48.0,6.0,2.0
train:48708,09a873142bd4906e5fc09a6b45fda84bb7cec603,train,48708,python,human,gh,human,3118.0,84.0,470.0,9.0,7.0
train:166528,ae6695f02e0e26ec33620fe247a8213007ee7b67,train,166528,python,codellama,lc,ai,139.0,6.0,57.0,8.0,2.0
train:70060,026fa2a00a73f2bb915318747aeece8a85c3b8f3,train,70060,python,human,cf,human,198.0,15.0,102.0,8.0,6.0
train:96607,d47d19014af732c91732149ecdcb28e3c4e2318f,train,96607,python,codellama,gh,ai,41.0,3.0,13.0,3.0,1.0
train:98458,898772c646e18d5b22ab09ba429218557d99cf44,train,98458,python,qwen1.5,gh,ai,30.0,2.0,8.0,0.0,0.0
train:72074,51bf7fdda7011fbb3e00af64eb24fe323e6bd961,train,72074,python,human,cf,human,294.0,21.0,150.0,8.0,4.0
train:112648,8045c14989d1b55e87ebadb5301592966eac183f,train,112648,python,codellama,gh,ai,195.0,7.0,62.0,8.0,4.0
train:96312,f7d09ccb61e68d4ff12c521d0a3a14a40840bf8d,train,96312,python,llama3.1,gh,ai,240.0,9.0,49.0,7.0,4.0
train:168020,eafeaffc3826de9b3f29a506df522740bd19fdf1,train,168020,python,codellama,lc,ai,116.0,4.0,31.0,8.0,1.0
train:140942,395e686abd329d9b39bab2af1c026f247acc4b4d,train,140942,python,llama3.1,lc,ai,370.0,13.0,118.0,10.0,5.0
train:85717,f10d2392d555d51399cbae7200773cca263bf1f5,train,85717,python,human,cf,human,404.0,23.0,132.0,10.0,6.0
train:103529,c1b0ba85416213feed8219d7eba5128eb3adfef3,train,103529,python,llama3.1,gh,ai,234.0,9.0,62.0,8.0,3.0
train:171454,cbac79891f88355da68468ab27a0b71a78f4ed29,train,171454,python,codellama,lc,ai,236.0,8.0,80.0,10.0,4.0
train:150613,3351864bb3559204016dea4ec2b9fd3078980d83,train,150613,python,qwen1.5,lc,ai,130.0,4.0,47.0,9.0,1.0
train:15267,1e356c156324a992f77698787a0260bf3c6da8a0,train,15267,python,human,gh,human,691.0,23.0,164.0,12.0,5.0
train:77297,cd7c5afc3f4fd9eb285eee459f06ab08f65f6c1f,train,77297,python,human,cf,human,189.0,8.0,71.0,7.0,3.0
train:28542,01d79d5a25d4d454ec2ac95db921501737a32eca,train,28542,python,human,gh,human,1456.0,39.0,318.0,9.0,10.0
train:135849,4f3ae4d40cd3001c659b3ee1bbfca1bb69ce1a5f,train,135849,python,llama3.1,lc,ai,478.0,17.0,152.0,10.0,4.0
train:5627,26a1479030ddd4e1e0efc47d63a031f3d3555905,train,5627,python,human,gh,human,167.0,5.0,41.0,6.0,2.0
train:136240,1a4463e056fb47df69d1e38d33ef66e8979cf1ca,train,136240,python,llama3.1,lc,ai,404.0,14.0,143.0,12.0,5.0
train:1572,3ad06897526cc3d7358824fcf75e1bdfec891c84,train,1572,python,human,gh,human,922.0,26.0,174.0,10.0,6.0
train:145245,c27df5ab577a8b2f981bab614178828d7c7d6750,train,145245,python,llama3.1,lc,ai,299.0,10.0,103.0,13.0,4.0
train:133894,bac72a1691bb0424098c9634f68de1d975e004c1,train,133894,python,llama3.1,lc,ai,374.0,11.0,97.0,11.0,4.0
train:90790,c165e872be7ad356d0948621b21ee68667264ec5,train,90790,python,gpt,cf,ai,207.0,14.0,67.0,7.0,3.0
train:115970,221066373be74e25ca87e49a5195945f933574f3,train,115970,python,qwen1.5,gh,ai,112.0,3.0,34.0,8.0,1.0
train:143980,03634f6ffb2bb7ffd52c1a43ac8de70a79f343cf,train,143980,python,llama3.1,lc,ai,171.0,6.0,61.0,11.0,3.0
train:90809,b1bff1539496554fecfe22bb346d25af29bf1e05,train,90809,python,gpt,cf,ai,572.0,29.0,186.0,9.0,7.0
train:93117,7711f7714538970bedd6d999e1dcff31a48e37d5,train,93117,python,codellama,cf,ai,672.0,31.0,204.0,9.0,8.0
train:22848,f3c8b4c0d0ba34698e50c73dbb959dd6b2a66c0c,train,22848,python,human,gh,human,887.0,31.0,186.0,10.0,8.0
train:32792,52034117c9825e113fbae0fece3e64aff7702e0d,train,32792,python,human,gh,human,566.0,16.0,142.0,8.0,5.0
train:163665,2c0b1c5ae1ed919175fbfe4a70c038135dd67d76,train,163665,python,qwen1.5,lc,ai,145.0,7.0,47.0,4.0,1.0
train:158743,40a2dae0517a39418ba756259664f5904b05a1f9,train,158743,python,qwen1.5,lc,ai,502.0,16.0,107.0,8.0,5.0
train:116684,e6ecdd5ff39ffd5f59fb873c9cb2e913fac983e0,train,116684,python,qwen1.5,gh,ai,81.0,4.0,18.0,3.0,1.0
train:145436,f05780c916f778cb20be3d74e22b4f4970633782,train,145436,python,llama3.1,lc,ai,916.0,37.0,305.0,10.0,11.0
train:84365,9ed058f80e3206324ca73ccc1d29b2a4bf6ad3bd,train,84365,python,human,cf,human,222.0,25.0,127.0,8.0,3.0
train:90244,5ca38fa14dadfc8795142bf681612ef0e36eabe9,train,90244,python,gpt,cf,ai,1299.0,49.0,426.0,12.0,12.0
train:5979,1512f8ae706668cae748e2504aad0996208313ba,train,5979,python,human,gh,human,137.0,9.0,52.0,6.0,2.0
train:91854,3d73ea3df072886b1c5e596dbd41e19020651455,train,91854,python,gpt,cf,ai,574.0,28.0,212.0,9.0,8.0
train:49743,3f0e708de6fd5d65b01d23e6b5d345d5835ff038,train,49743,python,human,gh,human,394.0,9.0,87.0,8.0,2.0
train:75613,d939e19153b0efe03e69495adb7f1998df45440b,train,75613,python,human,cf,human,377.0,21.0,137.0,9.0,6.0
train:177115,da41c5278d51eecec003e3a89c0ec72472732252,train,177115,python,codellama,lc,ai,547.0,25.0,112.0,7.0,4.0
train:60499,04188b635561da9f81b50580a7715efb0a7ced3a,train,60499,python,human,cf,human,117.0,9.0,84.0,9.0,3.0
train:23733,6e537492f5fb3e7e1b3b62e807d920d18bb7251c,train,23733,python,human,gh,human,313.0,13.0,72.0,8.0,3.0
train:131892,ddb9797e1110621d9f2384916daf69a7898f74bf,train,131892,python,nxcode,lc,ai,51.0,3.0,14.0,0.0,0.0
train:71487,6abf3d73f114f5f3c5030e68169dbd47937ab2c2,train,71487,python,human,cf,human,598.0,57.0,290.0,10.0,10.0
train:5087,bde1f3fab846f756a85d9914221d5ca2732e8d67,train,5087,python,human,gh,human,667.0,22.0,133.0,10.0,4.0
train:68758,9ddb8d646e3ae5fd3d3f9e13d9a9ba9ca09195c0,train,68758,python,human,cf,human,297.0,29.0,156.0,9.0,3.0
train:51684,53abfe711cca621203c7e016af27f97e5e52fade,train,51684,python,human,gh,human,638.0,12.0,110.0,6.0,2.0
train:3170,b0145bc81aab57ddbd546eca96489c222c33b61c,train,3170,python,human,gh,human,330.0,14.0,68.0,6.0,3.0
train:134263,cbcca0ff059d60f4f9171e9d145592c39a2a84ae,train,134263,python,llama3.1,lc,ai,109.0,4.0,44.0,8.0,1.0
train:93251,d7fefac4fef0ff752fe219300d8730ac14ac195c,train,93251,python,gpt,cf,ai,316.0,15.0,89.0,7.0,3.0
train:1888,781f04b5475408aed82085022832ece25d3262f3,train,1888,python,human,gh,human,838.0,37.0,156.0,12.0,6.0
train:139833,ef7120d88c58c141f21564974d99791337999f20,train,139833,python,llama3.1,lc,ai,53.0,4.0,24.0,6.0,1.0
train:89200,e0b9e5980dfee336e125078ed95a3f73f457ef60,train,89200,python,codellama,cf,ai,218.0,8.0,69.0,8.0,3.0
train:136388,081d7ba4967b7a31f864d632615b863dff974b7e,train,136388,python,llama3.1,lc,ai,149.0,7.0,56.0,7.0,1.0
train:135573,b2b027d25bc8bf7a6cf2a67175b77e0b41f88496,train,135573,python,llama3.1,lc,ai,348.0,12.0,85.0,5.0,1.0
train:176193,03b290126ea1850c5e757e401ef8f623993c0aec,train,176193,python,codellama,lc,ai,225.0,6.0,61.0,10.0,1.0
train:83297,e864104b9e4be0f6d2a7723112d1aeb258f64808,train,83297,python,human,cf,human,3273.0,225.0,1073.0,0.0,0.0
train:92202,cd95462e85b1501472e1f51795862f971b94a98d,train,92202,python,codellama,cf,ai,348.0,20.0,120.0,8.0,5.0
train:58842,e1841e932b74757b1901f0284ab6402228051717,train,58842,python,human,cf,human,50.0,1.0,29.0,11.0,2.0
train:53881,65c845c73d201ec3d94760f11c93b102a4ecb011,train,53881,python,human,gh,human,398.0,13.0,95.0,8.0,3.0
train:46041,ef6152f990d00002a092868749853eb35931e740,train,46041,python,human,gh,human,317.0,8.0,57.0,10.0,3.0
train:40476,ab0c21c329dc80c9a33348574c8935c043a15565,train,40476,python,human,gh,human,157.0,6.0,46.0,8.0,2.0
train:7608,840ccd57ae5187a2bc8f35c33570264a669e7093,train,7608,python,human,gh,human,994.0,24.0,206.0,8.0,5.0
train:10585,660ff258349758a1fecb271338baf9d9fac5873b,train,10585,python,human,gh,human,252.0,6.0,59.0,8.0,2.0
train:64972,9d67333a88990b7c58c083fcc267250759f6d3c7,train,64972,python,human,cf,human,291.0,27.0,142.0,8.0,5.0
train:33347,90d543cb6e06a8987f4402d1d7dd7dd606ee9d6f,train,33347,python,human,gh,human,1574.0,40.0,330.0,9.0,16.0
train:126938,5bcd7d98fba97d338055944ddad6d8a7172732ca,train,126938,python,nxcode,lc,ai,1106.0,41.0,429.0,13.0,19.0
train:69348,0b31dd0977ca1b8e0feb872ca4a76334f2364ba4,train,69348,python,human,cf,human,548.0,47.0,226.0,12.0,6.0
train:2319,bd4e49c557d765f0217cff8bf5f280d462af893a,train,2319,python,human,gh,human,1433.0,43.0,319.0,12.0,9.0
train:87831,ebba4c2a9e86f8b27fe0449b12d9db03ff5b4830,train,87831,python,human,cf,human,1892.0,159.0,731.0,12.0,21.0
train:4417,72fdec53857ff1729797de483307097452ea20a0,train,4417,python,human,gh,human,119.0,3.0,34.0,8.0,1.0
train:6315,a6f9f57c6390f8a795444664ad0e1f9514277b22,train,6315,python,human,gh,human,3665.0,85.0,783.0,12.0,17.0
train:165772,8808bcc67b213a61e448d2b76dc182558d6a571a,train,165772,python,codellama,lc,ai,91.0,3.0,29.0,7.0,1.0
train:58610,f6494119907aa7e98fa7fe3c7171119e53639373,train,58610,python,human,cf,human,514.0,52.0,232.0,8.0,6.0
train:27469,56934795700080f64e52d3751f87de964ade94fe,train,27469,python,human,gh,human,495.0,21.0,95.0,7.0,1.0
train:98358,50054fa73f946f02f60e5ed563a0af90916cba30,train,98358,python,codellama,gh,ai,161.0,5.0,34.0,5.0,1.0
train:108848,b406f42c3b097156557176e3fe4fc7c9c009fb84,train,108848,python,codellama,gh,ai,178.0,4.0,55.0,10.0,2.0
train:56853,96a3acdb1d5ec12e18e1e153aabe8674f562b8d0,train,56853,python,human,cf,human,410.0,37.0,239.0,16.0,6.0
train:144996,7898a29b5e8069e92a800742d4cf169109ddb082,train,144996,python,llama3.1,lc,ai,275.0,9.0,69.0,9.0,2.0
train:51560,32ecb8602067dfd47bd392557b83552e66e97ba5,train,51560,python,human,gh,human,241.0,8.0,60.0,9.0,2.0
train:87598,b51887d222abf883b6fdd0280ac83b89a2342a2b,train,87598,python,human,cf,human,445.0,50.0,213.0,8.0,7.0
train:11489,faf703dd82c2832f38175032e13bfc1ed98b999b,train,11489,python,human,gh,human,461.0,13.0,119.0,8.0,5.0
train:40957,d4299ce933fff397c7f77667a5f3d23abb3927b4,train,40957,python,human,gh,human,688.0,17.0,221.0,12.0,7.0
train:33705,089f0808515547003a068e0dc88612eda575352e,train,33705,python,human,gh,human,408.0,17.0,120.0,9.0,5.0
train:116025,69533eddac28a2786b5aa9d78f47617523c9fed4,train,116025,python,qwen1.5,gh,ai,92.0,3.0,22.0,0.0,0.0
train:34652,9a0d212c50aa43612e78b7fd1c46066420137643,train,34652,python,human,gh,human,344.0,11.0,75.0,8.0,2.0
train:164206,8382eb83ec93c13ef948b99fb7e622713f4f1bc8,train,164206,python,codellama,lc,ai,221.0,7.0,52.0,6.0,1.0
train:27286,b2bd0cb8ce9fede73af62947207f7e0f6c1f0566,train,27286,python,human,gh,human,404.0,11.0,94.0,7.0,5.0
train:76233,7420e2ed2c35e758d12a99415f94f60ee6861fef,train,76233,python,human,cf,human,469.0,35.0,163.0,9.0,8.0
train:87894,fb512e10124633e17a06636c2f2f566efce3ae3b,train,87894,python,human,cf,human,210.0,22.0,90.0,7.0,4.0
train:96900,748eaf4f4f8e53a95c7f22b3ac4241d77ced0ef4,train,96900,python,gpt,gh,ai,177.0,5.0,50.0,7.0,2.0
train:45211,8d200621f748451cb3a5ec62028b4c4b89e31e9b,train,45211,python,human,gh,human,1569.0,37.0,352.0,11.0,10.0
train:69094,d732406426136f0dad7448b0215351781f92ca64,train,69094,python,human,cf,human,2716.0,184.0,1043.0,17.0,14.0
train:60221,b5efb52839a159d212dd30da4932022e022f7c69,train,60221,python,human,cf,human,288.0,40.0,165.0,10.0,5.0
train:119900,cc6519f36b73d952adb8fb9132c1724b4104d3a7,train,119900,python,nxcode,lc,ai,32.0,1.0,8.0,0.0,0.0
train:51889,198a1c84a97e28d22fb516a3c831f5668d5a04c3,train,51889,python,human,gh,human,3207.0,84.0,624.0,0.0,0.0
train:95677,80ba4a1abf6c50c4d404941e204f882a1b4ddd94,train,95677,python,nxcode,gh,ai,281.0,15.0,61.0,8.0,2.0
train:97263,0ebad55f8aebac96db163158264cc08dfb11c1dc,train,97263,python,codellama,gh,ai,166.0,4.0,43.0,7.0,2.0
train:161999,fd89a41d7819c0a1257fe421d10a7daece3add55,train,161999,python,qwen1.5,lc,ai,495.0,14.0,195.0,11.0,7.0
train:129778,823ccefa2328bc96432a399dbd35b941ed9ea4e3,train,129778,python,nxcode,lc,ai,860.0,61.0,282.0,10.0,6.0
train:77073,961206b6fc99bdb3cf279562dc7e712201838b54,train,77073,python,human,cf,human,93.0,1.0,54.0,13.0,3.0
train:52373,fd248a858629bda5e374001071eab37ba9d0f0a5,train,52373,python,human,gh,human,271.0,7.0,62.0,9.0,1.0
train:135179,9b146e198493e8418411694e875fe7cd202bb65b,train,135179,python,llama3.1,lc,ai,184.0,3.0,66.0,12.0,4.0
train:38267,6f570be1bceea89fd0b359df0865fb98acc3e0bc,train,38267,python,human,gh,human,1402.0,23.0,157.0,6.0,2.0
train:111773,8a64d12b829bfb4629290996d78858c93fbe3ad2,train,111773,python,nxcode,gh,ai,720.0,20.0,155.0,0.0,0.0
train:86484,c53af54fbace9265c7ff73e3db9106ee8bc9ee3d,train,86484,python,human,cf,human,212.0,17.0,115.0,9.0,4.0
train:74692,4c36fe3b0ab0cc83f55ad0d24d973def3a841205,train,74692,python,human,cf,human,409.0,41.0,156.0,9.0,3.0
train:34455,18837f9b29631f15ae488ac3a3319128814d97fa,train,34455,python,human,gh,human,153.0,7.0,49.0,8.0,2.0
train:73443,ef0dc23450b8c9ac2f224ecef22618ede1988e0c,train,73443,python,human,cf,human,399.0,48.0,217.0,10.0,6.0
train:120404,a51a090e107d621536f44d72851dd6b156853a0d,train,120404,python,nxcode,lc,ai,498.0,21.0,152.0,6.0,4.0
train:170766,e8d8601969897ac42eb7f7d55333b57690c0232a,train,170766,python,codellama,lc,ai,35.0,2.0,22.0,4.0,1.0
train:56127,fc29fa24bf82f24d06b95e2e1e38ec14d8e76d4b,train,56127,python,human,cf,human,14536.0,574.0,3706.0,12.0,82.0
train:77161,9fb06a2da130ec2ce47e95f3dbbbc2c2267a6b1c,train,77161,python,human,cf,human,4192.0,5.0,42.0,9.0,1.0
train:109812,19260de4e228bb4324e4e4713e7db6b6a0eac56d,train,109812,python,nxcode,gh,ai,138.0,4.0,37.0,7.0,2.0
train:79759,b918e74b194bb2ee579a68b66052b2aa1372584e,train,79759,python,human,cf,human,1278.0,80.0,480.0,11.0,6.0
train:27379,43d27e3d9dd8eda08f3d0bb6a553474ac81e275b,train,27379,python,human,gh,human,777.0,18.0,159.0,12.0,7.0
train:15236,af9d63ca3067272376168033b9a452b4939d7017,train,15236,python,human,gh,human,4498.0,112.0,725.0,10.0,18.0
train:147896,1e70800c04a60bf824ad56460216a47c6bb934c4,train,147896,python,qwen1.5,lc,ai,135.0,8.0,50.0,5.0,1.0
train:8091,fb19d19187acb6307a091173b13e2acfb6ada2d1,train,8091,python,human,gh,human,198.0,7.0,57.0,6.0,2.0
train:127709,a718ca2e203ac97edd3f1c2c4fc16833f61d3ab3,train,127709,python,nxcode,lc,ai,381.0,13.0,113.0,9.0,7.0
train:40669,b0387b0655b84b222bf4d9874664825d375d1929,train,40669,python,human,gh,human,195.0,4.0,48.0,6.0,1.0
train:42645,aef4d36fead144e3d656b845845493f435b5d092,train,42645,python,human,gh,human,1399.0,45.0,484.0,11.0,4.0
train:67151,7b70b7f6b75d82b6e9d089e918231fa04f23129a,train,67151,python,human,cf,human,2375.0,137.0,847.0,11.0,14.0
train:167784,3635c353eadce1d34c900ac2fc6e04ad435796eb,train,167784,python,codellama,lc,ai,79.0,2.0,27.0,6.0,1.0
train:60559,e8da41e5ecf755517b2397de2608984b3bdc7c49,train,60559,python,human,cf,human,516.0,53.0,208.0,9.0,9.0
train:105724,64bae5130c7427068209291649f5303c57c989a0,train,105724,python,gpt,gh,ai,144.0,4.0,33.0,6.0,1.0
train:49471,1f4d46c4848e13b75a7a8560c6b6747cc4fd5004,train,49471,python,human,gh,human,423.0,18.0,107.0,9.0,5.0
train:18622,ce4b7ac97f9e694fdf6b40b19cd03c6e04566e14,train,18622,python,human,gh,human,278.0,9.0,59.0,7.0,4.0
train:69924,7302643337ac0add60375018e74ebd55c4c5dce1,train,69924,python,human,cf,human,5812.0,54.0,2351.0,9.0,12.0
train:70095,41e1d3e23c41d92d949de625453d8ac12fa171ef,train,70095,python,human,cf,human,1836.0,144.0,748.0,11.0,16.0
train:138394,804c86a04dd5aef9c989108c3d187782130d6ef1,train,138394,python,llama3.1,lc,ai,202.0,13.0,57.0,6.0,2.0
train:110832,622f07adb5bfa5b63dec778c641e1cebdab0cd49,train,110832,python,gpt,gh,ai,254.0,13.0,55.0,6.0,1.0
train:67135,37330d3d180032f67d15ea727643633c4c96959d,train,67135,python,human,cf,human,1067.0,91.0,450.0,11.0,15.0
train:109595,1406cd13edec2dc8a9733d73a22580bd9a995181,train,109595,python,gpt,gh,ai,329.0,15.0,74.0,8.0,3.0
train:160659,46ff2c6e08dca299086cb632e0d06fc6307087fe,train,160659,python,llama3.1,lc,ai,264.0,9.0,94.0,8.0,4.0
train:138108,452017d71717aa75d2940982092ec2bb238e1e94,train,138108,python,llama3.1,lc,ai,80.0,3.0,29.0,7.0,1.0
train:75247,7879c123b85c60fa7f585d9f709ee8b0569f6669,train,75247,python,human,cf,human,2297.0,193.0,863.0,11.0,8.0
train:59643,5705de062dbf24326c4f298ffbe02c2caaff6495,train,59643,python,human,cf,human,367.0,32.0,167.0,10.0,5.0
train:122368,806d400ce878ed3a8a4403227b9f3825ac714f45,train,122368,python,nxcode,lc,ai,26.0,1.0,8.0,0.0,0.0
train:148029,93d3b1b8ecd107a7adeb2620a85f2ff2b6988ad3,train,148029,python,qwen1.5,lc,ai,118.0,5.0,47.0,8.0,2.0
train:33947,1833adb20a4628bdaa160515accad8e8eeefdb24,train,33947,python,human,gh,human,172.0,6.0,60.0,7.0,1.0
train:77547,f5982ffd2c5b67b5accb3b7c108b1727ce90db6e,train,77547,python,human,cf,human,120.0,9.0,77.0,8.0,4.0
train:113027,07c074a59e9b9ef63b88003876d40d7b9e0473f0,train,113027,python,qwen1.5,gh,ai,250.0,9.0,59.0,7.0,1.0
train:22001,7d887fc03cfc599dcb819df134daa08d99e25b21,train,22001,python,human,gh,human,337.0,11.0,59.0,8.0,2.0
train:145565,1fa4fc6919b637c7301a52291e185b51d02ffde7,train,145565,python,llama3.1,lc,ai,257.0,7.0,105.0,12.0,3.0
train:59292,e3651ea67ee329969f7fd05a0f335b4e4a386263,train,59292,python,human,cf,human,559.0,43.0,215.0,9.0,9.0
train:136338,bd862a9b6d5bb26c8778747a53e14d5bdeb79b13,train,136338,python,llama3.1,lc,ai,197.0,6.0,43.0,7.0,2.0
train:39679,a19b994b31b600bf37d2b21865265aed72ba400f,train,39679,python,human,gh,human,608.0,14.0,130.0,10.0,3.0
train:88611,2f6eccddafdf29479961fcb7e231e666962ff6e5,train,88611,python,human,cf,human,128.0,19.0,60.0,4.0,1.0
train:46570,5237c0829b8adc49fab5aab0a05a3db48bd02439,train,46570,python,human,gh,human,373.0,11.0,67.0,7.0,2.0
train:118669,9fce28dcb91339aa88f9d6863bf6179a3d1f51ee,train,118669,python,nxcode,lc,ai,263.0,15.0,67.0,6.0,3.0
train:90760,80a11cff47b92f0f8e3e54c96dd70c5428aad950,train,90760,python,gpt,cf,ai,694.0,34.0,285.0,11.0,9.0
train:64204,838a4a5d7ea6b150600e6b1c2a32f31224c0bc06,train,64204,python,human,cf,human,490.0,33.0,232.0,12.0,9.0
train:113490,bbafc4e7ddeba5f95affa9b750978a52f438fd82,train,113490,python,llama3.1,gh,ai,393.0,17.0,113.0,8.0,5.0
train:145956,5d6f8e002e933c50a669b5dfa909716db3e1922f,train,145956,python,llama3.1,lc,ai,538.0,15.0,188.0,15.0,5.0
train:140871,d46c065b585d739039a57021a7c1706c48320930,train,140871,python,llama3.1,lc,ai,791.0,35.0,235.0,10.0,5.0
train:15777,cbd163b02dafaf3223e164b31a14160f5e33a9e6,train,15777,python,human,gh,human,547.0,15.0,131.0,9.0,4.0
train:138652,acc5c7ec5abbc811991c3d26aea89d0f58736793,train,138652,python,llama3.1,lc,ai,117.0,5.0,50.0,8.0,1.0
train:175431,bc66138734320c4c08bb441debf65d18529901bc,train,175431,python,codellama,lc,ai,76.0,2.0,25.0,7.0,2.0
train:95390,d493fa826edc4fea5d8c0e322ac1545d4e567ccd,train,95390,python,codellama,gh,ai,244.0,10.0,0.0,0.0,0.0
train:111783,8545b677dc40819dc0129cfc149cd100fe4a9ed2,train,111783,python,codellama,gh,ai,103.0,4.0,37.0,7.0,2.0
